,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
10,Minor Collector,All,25,32121.02,47612.33635970966,1284.8408,1904.4934543883865,1.804451672443661,619.6526543883865,48.227971464510354,102.3851404943927,88.69172502163543,0.5994651112451403,43262589.23357467,1730503.569342987,15.911188096313332,31.2619697477628,44.73523971729214,45.46099102067213
11,Local Road or Street,All,25,29204.555,39201.936655166995,1168.1822,1568.07746620668,1.1987230640339066,399.89526620667993,34.232268408702,95.0907388499094,124.4684654008376,0.6322134108809148,30848753.573437817,1233950.1429375126,8.112,9.684179772394977,18.852517228304816,19.42872014216059
12,Ramps,All,26,88013.68302899999,140251.78764163368,3385.1416549615383,5394.299524678218,2.69620158133406,2009.1578697166801,59.35225389377415,74.05472863715976,61.33822324859957,0.9595218497211219,163392693.2995194,6284334.357673823,3.452,17.979838163558938,30.822579708958187,32.06100646515314
13,Urban Interstates,All,2,65306.659999999996,77586.46925869142,32653.329999999998,38793.23462934571,9.818043110296808,6139.90462934571,18.803303152682165,18.937405872578672,18.81190236468947,-1.0,76476133.89391851,38238066.94695926,2.145,83.21332889992449,83.21332889992449,92.53221517213113
14,Urban Non-Interstate Freeway,All,3,68087.6511,79389.47466127318,22695.883700000002,26463.158220424393,0.34812050745694717,3767.274520424391,16.598932961682348,26.330740273093934,16.703295520058294,0.9957846840718296,107137519.66707675,35712506.55569225,0.8580000000000001,27.463641874289753,31.438821109160102,33.26734252898872
15,Urban Principal Arterial,All,14,153214.83393000002,172072.7895433329,10943.916709285715,12290.913538809493,0.6410797911135425,1346.9968295237777,12.308178738064365,27.223458454186744,22.823420249491345,0.8772960476595892,124268251.5119896,8876303.679427829,2.8179999999999996,35.345050415716024,59.90452464462767,71.83102546599814
16,Urban Minor Arterial,All,120,701111.951192,737170.9885084378,5842.5995932666665,6143.091570903648,0.5074098186685161,300.4919776369816,5.143121188439562,44.587857265819565,48.907210871968445,0.8423206145434822,814379248.5016797,6786493.737513998,19.467,118.05765918357454,223.19653402805557,255.6471253377272
17,Urban Major Collector,All,75,227030.46999999997,247728.4359234974,3027.072933333333,3303.0458123132985,0.722506335234207,275.97287897996557,9.116822919627229,53.740217569830975,54.915187128926526,0.7740904585700358,198475028.8700648,2646333.7182675307,14.878566459077332,44.35405912103299,94.02107691596449,103.56022093632915
18,Urban Minor Collector,All,1,2239.65,5409.615836173118,2239.65,5409.615836173118,,3169.9658361731176,141.5384473544133,141.5384473544133,141.5384473544133,0.0,10048683.402504733,10048683.402504733,0.45199999999999996,2.445146357950249,3.667719536925374,3.797382288953037
19,Urban Local Road or Street,All,16,20663.539999999997,33726.62965405901,1291.4712499999998,2107.9143533786882,1.921581275814431,816.4431033786884,63.218062607176776,100.81664053183081,156.37085649297404,0.6473198541375362,27124010.944187023,1695250.684011689,3.142,6.486527516770509,13.599644495661462,14.12028412466459
20,Urban Ramps,All,15,66492.745409,106823.77126376508,4432.849693933333,7121.584750917672,3.115099993659614,2688.7350569843393,60.65477610630612,66.50272984125093,63.13073912234931,0.9521537733903871,130357558.0298396,8690503.868655974,1.6639999999999997,12.332144660550258,21.140819418086156,22.186743913424483
21,Rural Interstates,All,4,101473.0,100924.20201545917,25368.25,25231.050503864793,-0.03639682858599178,-137.19949613520657,-0.5408315360153206,2.9699951828366937,2.3524479549161583,0.9926258168806789,2270662.0367880105,567665.5091970026,2.372,56.639270595072155,48.54794622434757,50.06340529933986
22,Rural Non-Interstate Freeway,All,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Rural Principal Arterial,All,2,41880.19132,50010.51932650316,20940.09566,25005.25966325158,0.6154413949130302,4065.1640032515825,19.413301969851567,27.20663731676346,17.584962341237304,1.0000000000000002,64913802.93181512,32456901.46590756,0.4389999999999999,12.575464602454193,15.27286569014943,16.76591699298277
24,Rural Minor Arterial,All,19,48146.613275,58917.74095283996,2534.0322776315793,3100.9337343599977,1.0176704758385053,566.9014567284185,22.37151680081479,34.209324049125485,31.64792296874552,0.9441198976018779,14277983.369492631,751472.8089206648,6.177,18.996701338353752,24.61222339381758,25.083276550649035
25,Rural Major Collector,All,69,213157.27789,255653.37578893843,3089.235911449275,3705.1213882454845,0.8381438750275805,615.8854767962093,19.93649868284985,70.90589388569228,44.15888957847702,0.9469494732059458,331067014.9174246,4798072.679962676,36.44244020559534,100.59408798033299,144.94486987197865,162.6819590124879
26,Rural Minor Collector,All,24,29881.37,42202.72052353654,1245.0570833333334,1758.446688480689,1.5975344888157879,513.3896051473557,41.234222271390294,94.48548370971938,86.48977825776969,0.5748846447190783,33213905.831069943,1383912.7429612477,15.459188096313333,28.816823389812555,41.06752018036676,41.663608731719094
27,Rural Local Road or Street,All,9,8541.015,5475.30700110798,949.0016666666666,608.3674445675533,-0.9223395426667247,-340.63422209911323,-35.893954042839404,67.78910574253403,67.75310345926174,0.76355903364506,3724742.629250788,413860.29213897645,4.97,3.1976522556244684,5.252872732643353,5.308436017495998
28,Rural Ramps,All,11,21520.937620000004,33428.016377868604,1956.4488745454548,3038.910579806237,1.4681622024923253,1082.461705260782,55.3278810064624,88.57745512882167,58.893883420758996,0.9253101319110816,33035135.269679792,3003194.115425436,1.788,5.647693503008686,9.681760290872033,9.874262551728663
29,AADT < 5k,FSUTMS RMSE,277,605154.234911,751893.7720103654,2184.672328198556,2724.252797139005,3.687646433949115,539.580468940449,24.698462189310465,71.59955556732811,64.72063885047122,0.6912295123645676,675308709.3432779,2446770.686026369,90.286194760986,196.10291429788518,328.42121504818044,341.2570433198314
30,AADT 5k to 10k,FSUTMS RMSE,71,507091.50858500006,532667.2135863896,7142.1339237323955,7502.355120935064,0.9442811077200973,360.2211972026689,5.043607429506468,38.67913003606696,32.63597736838742,0.3374688874078803,541835832.9076886,7631490.604333643,11.414000000000001,93.29030302948098,174.18516849720214,197.91071348703255
31,AADT 10k to 15k,FSUTMS RMSE,20,249079.36981999996,267292.6621016933,12453.968490999998,13364.633105084664,0.8000919045996574,910.664614084666,7.3122444042055195,33.0395223300545,26.943010264305535,0.6425633411797297,338620339.3521798,16931016.967608992,4.599,63.8255626655254,102.37361799005964,134.23337247035494
32,AADT 15k to 20k,FSUTMS RMSE,5,87297.06,109264.83396785837,17459.412,21852.966793571675,3.6713591944304795,4393.554793571675,25.164391524592435,28.65088260446877,25.982922697399758,0.0016492880057415165,125113807.67011246,25022761.53402249,0.887,19.235579279025536,29.296786698289246,34.34975589330284
33,AADT 20k to 30k,FSUTMS RMSE,7,162267.97902,166121.51851826976,23181.13986,23731.645502609965,0.31976666179020063,550.5056426099654,2.374799711898056,17.244818147103576,12.834511701606392,0.13579066790138022,111862585.31880514,15980369.331257878,2.481,57.42397129269329,60.702025907072496,64.93366229968017
34,AADT 30k to 50k,FSUTMS RMSE,5,158328.0044,179280.05645090717,31665.60088,35856.011290181435,1.5281835432295763,4190.410410181434,13.233320365722468,18.843948882225803,14.550199273370293,0.9491776369409559,178028407.2147175,35605681.4429435,3.4050000000000002,126.28692112985725,124.58371329177676,135.6986574544179
35,AADT 50k to 60k,FSUTMS RMSE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
